"","Country","Adjusted net enrollment rate, primary (% of primary school age children)","Adolescents out of school (% of lower secondary school age)","Agriculture, forestry, and fishing, value added (% of GDP)","Air transport, freight (million ton-km)","Children out of school, primary","Employment in agriculture (% of total employment) (modeled ILO estimate)","Employment in industry (% of total employment) (modeled ILO estimate)","Employment in services (% of total employment) (modeled ILO estimate)","GDP (current US$)","GDP per capita (current US$)","Imports of goods and services (% of GDP)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Military expenditure (% of GDP)","Mortality rate, infant, female (per 1,000 live births)","Number of infant deaths","Population, total","Primary completion rate, total (% of relevant age group)","Pupil-teacher ratio, primary","Pupil-teacher ratio, secondary","Services, value added (% of GDP)","Start-up procedures to register a business (number)","Time required to start a business (days)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Urban population (% of total population)","id"
"1","Arab World",85.38422,18.64328,4.42733735543004,31867.6107646217,7170117,21.4369905384039,24.3081121495625,54.2552036992017,2781589257561.09,6626.13535671051,40.8697239535365,50.8506098186079,67.22897,81.35474,74.5966,5.6381017767734,24.0619222543566,277524,419790588,84.96593,20.78495,14.49976,48.7496351380331,7.31818181818182,20.6727272727273,9.93881687368602,58.9254185931391,1
"2","Caribbean small states",88.92917,13.51108,NA,83.2630865024212,65482,11.6681327796482,19.9636546017195,68.3684431364717,72930271172.9642,9910.39788515969,NA,69.8475790464328,NA,NA,NA,1.07494092113343,13.1272267532445,1747,7358965,90.84398,18.92805,15.1103,NA,6.61538461538462,20.8846153846154,8.95764545424302,51.1993615776132,2
"3","Central Europe and the Baltics",91.02484,3.8367,NA,305.88708,363586,10.0353332143335,31.5926041086673,58.37222099696,1631295964301.68,15913.2316756453,62.4728816279989,70.8632727652223,NA,NA,NA,1.64388653213976,3.76368532417758,4214,102511922,99.67159,12.66168,10.02635,NA,5.72727272727273,18,4.3286210213212,62.3320760627627,3
"4","Early-demographic dividend",92.98126,15.9173,9.204102496592,19229.4471435686,19700000,36.525537074546,22.65745917077,40.8169466008654,11638828132484.6,3581.45598277422,29.1815459913054,59.2786484273892,73.60423,84.9596,79.35073,2.34751987454369,26.8472518314236,1872168,3249140605,92.59526,27.85282,21.40841,52.5543743878561,8.34426229508197,32.1885245901639,4.53908073024017,45.1312566986719,4
"5","East Asia & Pacific",95.98306,9.58114,NA,74702.3864146408,5906806,26.3606945194526,26.2382576885047,47.4016081345163,25918289434655.4,11132.2296645573,NA,74.5999351112372,93.93963,97.25485,95.6076,1.66727114712876,11.3,382605,2328220870,97.65145,17.53589,14.75977,NA,6.44827586206897,23.3655172413793,3.86811981432036,59.0527886714373,5
"6","East Asia & Pacific (excluding high income)",96.01509,9.7958,8.05606152321893,31942.4211184368,5526618,29.0275321088566,26.4883080389121,44.4848441471138,16279999801740.6,7820.71227950796,24.1162316492693,74.5995449012492,94.19083,97.51447,95.86556,1.74906647878239,11.7432162760598,378376,2081651801,97.60904,17.66661,14.98305,51.6306152996938,7.7,30.45,3.93829217168956,55.6335882382637,6
"7","East Asia & Pacific (IDA & IBRD countries)",95.99521,9.81455,8.05606152321893,31942.1696251988,5526688,28.5697093660703,26.6285347379442,44.8024503632683,16248767389147.8,7902.8493462945,24.1162316492693,74.4577167371962,94.11664,97.48526,95.81489,1.74906647878239,11.7387866177557,373538,2056064424,97.5613,17.64651,14.95966,51.6306152996938,7.71428571428571,30.3333333333333,3.94764709698904,55.5550920185359,7
"8","Euro area",97.30733,2.86901,1.54352286310218,31429.3273996518,334587,3.10544550648478,23.3410173131994,73.5538673515127,13675599697568.1,40012.5016616692,42.1265133023931,73.1338905920966,NA,NA,NA,1.44799739792433,2.72568118580584,9623,341783171,95.45505,13.203,11.42415,65.6488889562899,5.31578947368421,10.4473684210526,8.2080851104635,76.9917327106284,8
"9","Europe & Central Asia",96.05395,3.44343,1.86992565864516,52988.0601493388,1455945,8.80331160603757,24.6174797830612,66.5793540267825,23041491391744.6,25077.9844815249,40.3505142740774,71.1887024064007,97.88237,98.83254,98.33417,1.70368012721277,6.7,82911,918793590,97.20955,14.86965,11.08115,64.3119589090877,5.34,12.552,6.94375318019942,72.1835105010589,9
"10","Europe & Central Asia (excluding high income)",94.40977,4.26553,4.91754769811463,13063.303711544,943453,15.7011458196793,26.1048154836154,58.1940615797164,3394924024495.23,8125.76906050685,30.4325276854767,67.9768620781762,98.51828,99.54427,99.0011,3.09753685961628,9.81478032345502,67378,417797257,96.83682,18.39211,10.48524,53.5312157732035,5,12.73,7.03970427904415,66.9473805143823,10
"11","Europe & Central Asia (IDA & IBRD countries)",94.65785,4.20303,4.87665328996005,13335.321501544,1013888,15.1330071071389,26.58614811201,58.2808655271571,4041512556263.03,8788.4721703679,33.8914535313462,68.136971968671,98.50061,99.52141,98.98185,2.90840414306081,9.41192475714031,68942,459865205,97.44599,17.06837,10.3459,53.6236937597941,5.13636363636364,14.2772727272727,6.76516512840317,66.2868323125935,11
